更新时间: 2026-04-04 18:02:18（北京时间）

更新时间,#genre#
2026-04-04 18:02:18,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
山东教育卫视,http://58.46.202.137:4023/rtp/239.76.245.191:1234$湖南电信_result_ip
中国教育1台,http://58.46.202.137:4023/rtp/239.76.245.192:1234$湖南电信_result_ip
中国教育1台,http://58.46.202.137:4023/rtp/239.76.252.192:9000$湖南电信_result_ip
中国教育4台,http://58.46.202.137:4023/rtp/239.76.252.254:9000$湖南电信_result_ip
中国教育4台,http://58.46.202.137:4023/rtp/239.76.245.254:1234$湖南电信_result_ip
早期教育,http://58.46.202.137:4023/rtp/239.76.254.202:9000$湖南电信_result_ip

数字频道,#genre#
CHC动作电影,http://58.46.202.137:4023/rtp/239.76.252.243:9000$湖南电信_result_ip
CHC动作电影,http://58.46.202.137:4023/rtp/239.76.245.243:1234$湖南电信_result_ip
CHC家庭影院,http://58.46.202.137:4023/rtp/239.76.245.241:1234$湖南电信_result_ip
CHC家庭影院,http://58.46.202.137:4023/rtp/239.76.252.241:9000$湖南电信_result_ip
CHC影迷电影,http://58.46.202.137:4023/rtp/239.76.245.242:1234$湖南电信_result_ip
CHC影迷电影,http://58.46.202.137:4023/rtp/239.76.252.242:9000$湖南电信_result_ip
凤凰卫视中文台,http://58.46.202.137:4023/rtp/239.76.253.135:9000$湖南电信_result_ip
凤凰卫视中文台,http://58.46.202.137:4023/rtp/239.76.246.134:1234$湖南电信_result_ip
凤凰卫视资讯台,http://58.46.202.137:4023/rtp/239.76.246.135:1234$湖南电信_result_ip
凤凰卫视资讯台,http://58.46.202.137:4023/rtp/239.76.253.134:9000$湖南电信_result_ip
金鹰纪实,http://58.46.202.137:4023/rtp/239.76.253.110:9000$湖南电信_result_ip
金鹰纪实,http://58.46.202.137:4023/rtp/239.76.246.110:1234$湖南电信_result_ip
金鹰纪实,http://58.46.202.137:4023/rtp/239.76.252.122:9000$湖南电信_result_ip
金鹰纪实,http://58.46.202.137:4023/rtp/239.76.245.122:1234$湖南电信_result_ip
纪实科教,http://58.46.202.137:4023/rtp/239.76.254.65:9000$湖南电信_result_ip
快乐垂钓,http://58.46.202.137:4023/rtp/239.76.246.5:1234$湖南电信_result_ip
快乐垂钓,http://58.46.202.137:4023/rtp/239.76.245.127:1234$湖南电信_result_ip
